End Date;End Time;NO2
28/01/2023;01:00:00;30.36174
28/01/2023;02:00:00;29.11372
28/01/2023;03:00:00;26.76637
28/01/2023;04:00:00;24.08871
28/01/2023;05:00:00;37.02825
28/01/2023;06:00:00;55.25382
28/01/2023;07:00:00;53.10243
28/01/2023;08:00:00;67.70413
28/01/2023;09:00:00;61.96548
28/01/2023;10:00:00;68.02933
28/01/2023;11:00:00;60.78732
28/01/2023;12:00:00;56.09138
28/01/2023;13:00:00;56.05741
28/01/2023;14:00:00;48.45317
28/01/2023;15:00:00;42.53741
28/01/2023;16:00:00;44.20251
28/01/2023;17:00:00;61.19982
28/01/2023;18:00:00;52.76458
28/01/2023;19:00:00;58.23307
28/01/2023;20:00:00;55.20219
28/01/2023;21:00:00;59.44347
28/01/2023;22:00:00;60.67266
28/01/2023;23:00:00;51.50592
28/01/2023;24:00:00;42.74085
29/01/2023;01:00:00;39.02922
29/01/2023;02:00:00;38.53389
29/01/2023;03:00:00;36.05634
29/01/2023;04:00:00;29.61146
29/01/2023;05:00:00;23.22907
29/01/2023;06:00:00;18.02817
29/01/2023;07:00:00;18.33039
29/01/2023;08:00:00;19.38153
29/01/2023;09:00:00;19.96049
29/01/2023;10:00:00;27.10680
29/01/2023;11:00:00;27.17197
29/01/2023;12:00:00;29.23318
29/01/2023;13:00:00;27.74183
29/01/2023;14:00:00;29.34654
29/01/2023;15:00:00;40.49103
29/01/2023;16:00:00;39.69358
29/01/2023;17:00:00;43.32011
29/01/2023;18:00:00;41.99092
29/01/2023;19:00:00;49.89949
29/01/2023;20:00:00;38.38978
29/01/2023;21:00:00;31.15255
29/01/2023;22:00:00;24.81714
29/01/2023;23:00:00;24.75222
29/01/2023;24:00:00;20.90129
30/01/2023;01:00:00;18.26685
30/01/2023;02:00:00;13.21893
30/01/2023;03:00:00;14.99764
30/01/2023;04:00:00;19.85893
30/01/2023;05:00:00;17.27199
30/01/2023;06:00:00;16.73055
30/01/2023;07:00:00;39.27481
30/01/2023;08:00:00;50.81286
30/01/2023;09:00:00;45.41900
30/01/2023;10:00:00;43.91048
30/01/2023;11:00:00;29.92851
30/01/2023;12:00:00;28.73882
30/01/2023;13:00:00;31.34104
30/01/2023;14:00:00;32.54211
30/01/2023;15:00:00;33.55036
30/01/2023;16:00:00;40.39964
30/01/2023;17:00:00;64.56258
30/01/2023;18:00:00;73.03227
30/01/2023;19:00:00;76.88169
30/01/2023;20:00:00;76.45510
30/01/2023;21:00:00;71.68238
30/01/2023;22:00:00;69.91319
30/01/2023;23:00:00;67.25906
30/01/2023;24:00:00;59.89477
31/01/2023;01:00:00;43.65874
31/01/2023;02:00:00;32.55855
31/01/2023;03:00:00;24.83141
31/01/2023;04:00:00;21.58953
31/01/2023;05:00:00;22.03610
31/01/2023;06:00:00;23.09700
31/01/2023;07:00:00;46.40187
31/01/2023;08:00:00;59.16295
31/01/2023;09:00:00;57.78476
31/01/2023;10:00:00;48.07048
31/01/2023;11:00:00;46.86890
31/01/2023;12:00:00;27.68481
31/01/2023;13:00:00;34.21037
31/01/2023;14:00:00;27.35302
31/01/2023;15:00:00;28.05650
31/01/2023;16:00:00;34.31460
31/01/2023;17:00:00;54.95943
31/01/2023;18:00:00;75.74137
31/01/2023;19:00:00;50.17057
31/01/2023;20:00:00;67.73797
31/01/2023;21:00:00;54.13687
31/01/2023;22:00:00;38.00521
31/01/2023;23:00:00;34.23360
31/01/2023;24:00:00;32.96812
